1,accounting
2,happen to do
3,look to do
4,promote
5,on time
6,obvious
7,the rest
8,deserve
9,leave of absence
10,duty
11,hence
12,in turn
13,unfortunate
14,put ~ on hold
15,fulfill
16,tolerate
17,graphene
18,,transparent
19,,chemistry
20,,major
21,introductory
22,coursework
23,pursue
24,undergraduate
25,potential
26,application
27,fascinate
28,utilize
